;Фамилия##OTHER##;Да/Нет##number##general
;;0
Шевцова;Шевцова;1
Колымагин;Колымагин;2
Сидорова;Сидорова;3
Минеев;Минеев;4
Извекова;Извекова;5
Мальцева;Мальцева;6
Захаров;Захаров;7
Истомина;Истомина;8
Вершинина;Вершинина;9
Вшивков;Вшивков;10
Чубикова;Чубикова;11
Стахеев;Стахеев;12
Кочнев;Кочнев;13
Заренкова;Заренкова;14
Емельяненко;Емельяненко;15
Ложкина;Ложкина;16
Смитченко;Смитченко;17
Алексеева;Алексеева;18
Батыршина;Батыршина;19
Иманаев;Иманаев;20
Катаева;Катаева;21
Шимякова;Шимякова;22
Петрова;Петрова;23
Ефимова;Ефимова;24
Краюшкина;Краюшкина;25
Ростовщикова;Ростовщикова;26
Ещенко;Ещенко;27
Февралева;Февралева;28
Храмцов;Храмцов;29
Цидвинцев;Цидвинцев;30
Ржакова;Ржакова;31
Хасанов;Хасанов;32
Подоляк;Подоляк;33
Зайцев;Зайцев;34
Суходолов;Суходолов;35
Чугуев;Чугуев;36
Антышев;Антышев;37
Жоголь;Жоголь;38
Саяпов;Саяпов;39
Волощук;Волощук;40
Овсянникова;Овсянникова;41
Мишина;Мишина;42
Кудымова;Кудымова;43
Петров;Петров;44
Лалош;Лалош;45
Антонюк;Антонюк;46
Лепилин;Лепилин;47
Остаркова;Остаркова;48
Бессмертная;Бессмертная;49
Бурнос;Бурнос;50
Фонарев;Фонарев;51
Кашапова;Кашапова;52
Бубнов;Бубнов;53
Степанова;Степанова;54
Лебедев;Лебедев;55
Андреева;Андреева;56
Малыгина;Малыгина;57
Пеннер;Пеннер;58
Сергеева ;Сергеева ;59
Кибанов;Кибанов;60
Елисеев;Елисеев;61
Попова;Попова;62
Худяков;Худяков;63
Соколова;Соколова;64
Горак;Горак;65
Залевская;Залевская;66
Дементьева;Дементьева;67
Ишунин;Ишунин;68
Шардина;Шардина;69
Злотников;Злотников;70
Евсеева;Евсеева;71
Колесников;Колесников;72
Кондратов;Кондратов;73
Синиченко;Синиченко;74
Лобанова;Лобанова;75
Романова;Романова;76
Лагунова;Лагунова;77
Кирчанова;Кирчанова;78
Ишменева;Ишменева;79
Чуваргин;Чуваргин;80
Руденко;Руденко;81
Васильева;Васильева;82
Гаева;Гаева;83
Талашманова;Талашманова;84
Фендрих;Фендрих;85
Захаренко;Захаренко;86
Чекасин;Чекасин;87
Курбанова;Курбанова;88
Платонов;Платонов;89
Петрунина;Петрунина;90
;;91
;;92
;;93
;;94
;;95
;;96
;;97
;;98
;;99
;;100
;;101
;;102
;;103
;;104
Гребнева;Гребнева;105
;;106
