;Фамилия##OTHER##;Да/Нет##number##general
;;0
Шевцова;Шевцова;1
Колымагин;Колымагин;2
Сидорова;Сидорова;3
Минеев;Минеев;4
Извекова;Извекова;5
Мальцева;Мальцева;6
Захаров;Захаров;7
Истомина;Истомина;8
Сергеева;Сергеева;9
Вершинина;Вершинина;10
Вшивков;Вшивков;11
Чубикова;Чубикова;12
Стахеев;Стахеев;13
Кочнев;Кочнев;14
Заренкова;Заренкова;15
Емельяненко;Емельяненко;16
Ложкина О.В;Ложкина;17
Смитченко;Смитченко;18
Алексеева;Алексеева;19
Батыршина;Батыршина;20
Ефимова;Ефимова;21
Катаева;Катаева;22
Козлова;Козлова;23
Петрова;Петрова;24
Ефимова;Eфимова;25
Краюшкина;Краюшкина;26
Ростовщикова;Ростовщикова;27
Ещенко;Ещенко;28
Февралева;Февралева;29
Храмцов;Храмцов;30
Цидвинцев;Цидвинцев;31
Ржакова;Ржакова;32
Хасанов;Хасанов;33
Подоляк;Подоляк;34
Зайцев;Зайцев;35
Суходолов;Суходолов;36
Подоляк И.В.;Подоляк И.В.;37
Мальцева М.П.;Мальцева М.П.;38
Чугуев;Чугуев;39
Антышев;Антышев;40
Жоголь;Жоголь;41
Саяпов;Саяпов;42
Волощук;Волощук;43
Овсянникова;Овсянникова;44
Мишина;Мишина;45
Кудымова;Кудымова;46
Петров;Петров;47
Лалош;Лалош;48
Антонюк;Антонюк;49
Ильченко;Ильченко;50
Скрынник;Скрынник;51
Лепилин;;52
Остаркова;Остаркова;53
Бессмертная;Бессмертная;54
Бурнос;Бурнос;55
Фонарев;Фонарев;56
Кашапова;Кашапова;57
Бубнов;Бубнов;58
Степанова;Степанова;59
Лебедев;Лебедев;60
Артишевская;Артишевская;61
Андреева;Андреева;62
Малыгина;Малыгина;63
Лебедев Р.И.;Лебедев Р.И.;64
Заварницына;Заварницына;65
Бубнов;Бубнов;66
Романская;Романская;67
Пеннер;Пеннер;68
Сергеева;Сергеева О.;69
Устьянцева;;70
Бакакина;;71
Кибанов;Кибанов;72
Елисеев;Елисеев;73
Морозова;Морозова;74
Кузнецов;Кузнецов;75
Морозова Н.Г.;Морозова Н.Г.;76
Попова;Попова;77
Худяков;Худяков;78
Соколова;Соколова;79
Горак;Горак;80
Залевская;Залевская;81
Дементьева;Дементьева;82
Ишунин;Ишунин;83
Шардина;Шардина;84
Злотников;Злотников;85
Евсеева;Евсеева;86
Колесников;Колесников;87
Кондратов;Кондратов;88
Синиченко;Синиченко;89
Гребнева;Гребнева;90
Лобанова;Лобанова;91
Романова;Романова;92
Лагунова;Лагунова;93
Кирчанова;Кирчанова;94
Ишменева;Ишменева;95
Чуваргин;Чуваргин;96
Руденко;Руденко;97
Васильева;Васильева;98
Гаева;Гаева;99
Талашманова;Талашманова;100
Фендрих;Фендрих;101
Захаренко;Захаренко;102
Чекасин;Чекасин;103
Курбанова;Курбанова;104
Платонов;Платонов;105
Петрунина;Петрунина;106
Богомягкова;Богомягкова;107
Шипулин;Шипулин;108
Блинова;Блинова;109
