,ADSK_мЮХЛЕМНБЮМХЕ##OTHER##,оПХЛЕПМЮЪ БШЯНРЮ##LENGTH##MILLIMETERS,оПХЛЕПМЮЪ ЬХПХМЮ##LENGTH##MILLIMETERS
570У580h,но няо 6-6 к,580,570
720У580h,но няо 6-7 к,580,720
870У580h,но няо 6-9 к,580,870
1170У580h,но няо 6-12 к,580,1170
1320У580h,но няо 6-13 к,580,1320
570У860h,но няо 9-6 к,860,570
720У860h,но няо 9-7 к,860,720
870У860h,но няо 9-9 к,860,870
1170У860h,но няо 9-12 к,860,1170
1320У860h,но няо 9-13 к,860,1320
570У1160h,но няо 12-6 к,1160,570
720У1160h,но няо 12-7 к,1160,720
870У1160h,но няо 12-9 к,1160,870
1170У1160h,но няо 12-12 к,1160,1170
1320У1160h,но няо 12-13 к,1160,1320
570У1320h,но няо 13-6 к,1320,570
720У1320h,но няо 13-7 к,1320,720
870У1320h,но няо 13-9 к,1320,870
1170У1320h,но няо 13-12 к,1320,1170
1320У1320h,но няо 13-13 к,1320,1320
570У1460h,но няо 15-6 к,1460,570
720У1460h,но няо 15-7 к,1460,720
870У1460h,но няо 15-9 к,1460,870
1170У1460h,но няо 15-12 к,1460,1170
1320У1460h,но няо 15-13 к,1460,1320
720У1760h,но няо 18-7 к,1760,720
870У1760h,но няо 18-9 к,1760,870
1170У1760h,но няо 18-12 к,1760,1170
1320У1760h,но няо 18-13 к,1760,1320
720У2060h,но няо 21-7 к,2060,720
870У2060h,но няо 21-9 к,2060,870
1170У2060h,но няо 21-12 к,2060,1170
1320У2060h,но няо 21-13 к,2060,1320
720У2175h,но няо 22-7 к,2175,720
870У2175h,но няо 22-9 к,2175,870
