,ADSK_мЮХЛЕМНБЮМХЕ##OTHER##,оПХЛЕПМЮЪ БШЯНРЮ##LENGTH##MILLIMETERS,оПХЛЕПМЮЪ ЬХПХМЮ##LENGTH##MILLIMETERS,яРБНПЙЮ 01_бШЯНРЮ##LENGTH##MILLIMETERS
570У1160(580)h,но няо 12-6 то,1160,570,580
720У1160(580)h,но няо 12-7 то,1160,720,580
570У1320(860)h,но няо 13-6 то,1320,570,860
720У1320(860)h,но няо 13-7 то,1320,720,860
870У1320(860)h,но няо 13-9 то,1320,870,860
570У1460(860)h,но няо 15-6 то,1460,570,860
720У1460(860)h,но няо 15-7 то,1460,720,860
870У1460(860)h,но няо 15-9 то,1460,870,860
1170У1460(860)h,но няо 15-12 то,1460,1170,860
1320У1460(860)h,но няо 15-13 то,1460,1320,860
720У1760(1160)h,но няо 18-7 то,1760,720,1160
870У1760(1160)h,но няо 18-9 то,1760,870,1160
1170У1760(1160)h,но няо 18-12 то,1760,1170,1160
1320У1760(1160)h,но няо 18-13 то,1760,1320,1160
720У2060(1460)h,но няо 21-7 то,2060,720,1460
870У2060(1460)h,но няо 21-9 то,2060,870,1460
1170У2060(1460)h,но няо 21-12 то,2060,1170,1460
1320У2060(1460)h,но няо 21-13 то,2060,1320,1460
720У2175(1760)h,но няо 22-7 то,2175,720,1760
870У2175(1760)h,но няо 22-9 то,2175,870,1760
1170У2175(1760)h,но няо 22-12 то,2175,1170,1760
1320У2175(1760)h,но няо 22-13 то,2175,1320,1760
