,ADSK_мЮХЛЕМНБЮМХЕ##OTHER##,оПХЛЕПМЮЪ БШЯНРЮ##LENGTH##MILLIMETERS,оПХЛЕПМЮЪ ЬХПХМЮ##LENGTH##MILLIMETERS,яРБНПЙЮ 01_ьХПХМЮ##LENGTH##MILLIMETERS
870(435)У860h,но няо 9-9 о,860,870,435
1170(570)У860h,но няо 9-12 о,860,1170,570
1320(570)У860h,но няо 9-13 о,860,1320,570
1470(870)У860h,но няо 9-15 о,860,1470,870
870(435)У1160h,но няо 12-9 о,1160,870,435
1170(570)У1160h,но няо 12-12 о,1160,1170,570
1320(570)У1160h,но няо 12-13 о,1160,1320,570
1470(870)У1160h,но няо 12-15 о,1160,1470,870
1770(870)У1160h,но няо 12-18 о,1160,1770,870
2070(1170)У1160h,но няо 12-21 о,1160,2070,1170
2370(1170)У1160h,но няо 12-24 о,1160,2370,1170
2670(1320)У1160h,но няо 12-27 о,1160,2670,1320
870(435)У1320h,но няо 13-9 о,1320,870,435
1170(570)У1320h,но няо 13-12 о,1320,1170,570
1320(570)У1320h,но няо 13-13 о,1320,1320,570
1470(870)У1320h,но няо 13-15 о,1320,1470,870
1770(870)У1320h,но няо 13-18 о,1320,1770,870
2070(1170)У1320h,но няо 13-21 о,1320,2070,1170
2370(1170)У1320h,но няо 13-24 о,1320,2370,1170
2670(1320)У1320h,но няо 13-27 о,1320,2670,1320
870(435)У1460h,но няо 15-9 о,1460,870,435
1170(570)У1460h,но няо 15-12 о,1460,1170,570
1320(570)У1460h,но няо 15-13 о,1460,1320,570
1470(870)У1460h,но няо 15-15 о,1460,1470,870
1770(870)У1460h,но няо 15-18 о,1460,1770,870
2070(1170)У1460h,но няо 15-21 о,1460,2070,1170
2370(1170)У1460h,но няо 15-24 о,1460,2370,1170
2670(1320)У1460h,но няо 15-27 о,1460,2670,1320
870(435)У1760h,но няо 18-9 о,1760,870,435
1170(570)У1760h,но няо 18-12 о,1760,1170,570
1320(570)У1760h,но няо 18-13 о,1760,1320,570
1470(870)У1760h,но няо 18-15 о,1760,1470,870
1770(870)У1760h,но няо 18-18 о,1760,1770,870
2070(1170)У1760h,но няо 18-21 о,1760,2070,1170
2370(1170)У1760h,но няо 18-24 о,1760,2370,1170
2670(1320)У1760h,но няо 18-27 о,1760,2670,1320
1170(570)У2060h,но няо 21-12 о,2060,1170,570
1320(570)У2060h,но няо 21-13 о,2060,1320,570
1470(870)У2060h,но няо 21-15 о,2060,1470,870
1770(870)У2060h,но няо 21-18 о,2060,1770,870
2070(1170)У2060h,но няо 21-21 о,2060,2070,1170
2370(1170)У2060h,но няо 21-24 о,2060,2370,1170
1170(570)У2175h,но няо 22-12 о,2175,1170,570
1320(570)У2175h,но няо 22-13 о,2175,1320,570
1470(870)У2175h,но няо 22-15 о,2175,1470,870
1770(870)У2175h,но няо 22-18 о,2175,1770,870
2070(1035)У2175h,но няо 22-21 о,2175,2070,1035
1170(570)У2375h,но няо 24-12 о,2375,1170,570
1320(570)У2375h,но няо 24-13 о,2375,1320,570
1470(870)У2375h,но няо 24-15 о,2375,1470,870
1770(870)У2375h,но няо 24-18 о,2375,1770,870
1170(570)У2755h,но няо 28-12 о,2755,1170,570
1320(570)У2755h,но няо 28-13 о,2755,1320,570
1470(870)У2755h,но няо 28-15 о,2755,1470,870
1770(870)У2755h,но няо 28-18 о,2755,1770,870
