,ADSK_мЮХЛЕМНБЮМХЕ##OTHER##,оПХЛЕПМЮЪ БШЯНРЮ##LENGTH##MILLIMETERS,оПХЛЕПМЮЪ ЬХПХМЮ##LENGTH##MILLIMETERS,яРБНПЙЮ 01_ьХПХМЮ##LENGTH##MILLIMETERS,яРБНПЙЮ 02_бШЯНРЮ##LENGTH##MILLIMETERS
870(435)x1160(580)h,но няо 12-9 т,1160,870,435,580
1170(570)x1160(580)h,но няо 12-12 т,1160,1170,570,580
1320(570)x1160(580)h,но няо 12-13 т,1160,1320,570,580
1470(870)x1160(580)h,но няо 12-15 т,1160,1470,870,580
1770(870)x1160(580)h,но няо 12-18 т,1160,1770,870,580
2070(1170)x1160(580)h,но няо 12-21 т,1160,2070,1170,580
2370(1170)x1160(580)h,но няо 12-24 т,1160,2370,1170,580
2670(1320)x1160(580)h,но няо 12-27 т,1160,2670,1320,580
870(435)У1320(860)h,но няо 13-9 т,1320,870,435,860
1170(570)У1320(860)h,но няо 13-12 т,1320,1170,570,860
1320(570)У1320(860)h,но няо 13-13 т,1320,1320,570,860
1470(870)У1320(860)h,но няо 13-15 т,1320,1470,870,860
1770(870)У1320(860)h,но няо 13-18 т,1320,1770,870,860
2070(1170)У1320(860)h,но няо 13-21 т,1320,2070,1170,860
2370(1170)У1320(860)h,но няо 13-24 т,1320,2370,1170,860
2670(1320)У1320(860)h,но няо 13-27 т,1320,2670,1320,860
870(435)У1460(860)h,но няо 15-9 т,1460,870,435,860
1170(570)У1460(860)h,но няо 15-12 т,1460,1170,570,860
1320(570)У1460(860)h,но няо 15-13 т,1460,1320,570,860
1470(870)У1460(860)h,но няо 15-15 т,1460,1470,870,860
1770(870)У1460(860)h,но няо 15-18 т,1460,1770,870,860
2070(1170)У1460(860)h,но няо 15-21 т,1460,2070,1170,860
2370(1170)У1460(860)h,но няо 15-24 т,1460,2370,1170,860
2670(1320)У1460(860)h,но няо 15-27 т,1460,2670,1320,860
870(435)У1760(1160)h,но няо 18-9 т,1760,870,435,1160
1170(570)У1760(1160)h,но няо 18-12 т,1760,1170,570,1160
1320(570)У1760(1160)h,но няо 18-13 т,1760,1320,570,1160
1470(870)У1760(1160)h,но няо 18-15 т,1760,1470,870,1160
1770(870)У1760(1160)h,но няо 18-18 т,1760,1770,870,1160
2070(1170)У1760(1160)h,но няо 18-21 т,1760,2070,1170,1160
2370(1170)У1760(1160)h,но няо 18-24 т,1760,2370,1170,1160
2670(1320)У1760(1160)h,но няо 18-27 т,1760,2670,1320,1160
1170(570)У2060(1460)h,но няо 21-12 т,2060,1170,570,1460
1320(570)У2060(1460)h,но няо 21-13 т,2060,1320,570,1460
1470(870)У2060(1460)h,но няо 21-15 т,2060,1470,870,1460
1770(870)У2060(1460)h,но няо 21-18 т,2060,1770,870,1460
2070(1170)У2060(1460)h,но няо 21-21 т,2060,2070,1170,1460
2370(1170)У2060(1460)h,но няо 21-24 т,2060,2370,1170,1460
1170(570)У2175(1760)h,но няо 22-12 т,2175,1170,570,1760
1320(570)У2175(1760)h,но няо 22-13 т,2175,1320,570,1760
1470(870)У2175(1760)h,но няо 22-15 т,2175,1470,870,1760
1770(870)У2175(1760)h,но няо 22-18 т,2175,1770,870,1760
2070(1035)У2175(1760)h,но няо 22-21 т,2175,2070,1035,1760
1170(570)У2375(1760)h,но няо 24-12 т,2375,1170,570,1760
1320(570)У2375(1760)h,но няо 24-13 т,2375,1320,570,1760
1470(870)У2375(1760)h,но няо 24-15 т,2375,1470,870,1760
1770(870)У2375(1760)h,но няо 24-18 т,2375,1770,870,1760
1170(570)У2755(2175)h,но няо 28-12 т,2755,1170,570,2175
1320(570)У2755(2175)h,но няо 28-13 т,2755,1320,570,2175
1470(870)У2755(2175)h,но няо 28-15 т,2755,1470,870,2175
1770(870)У2755(2175)h,но няо 28-18 т,2755,1770,870,2175
