,ADSK_мЮХЛЕМНБЮМХЕ##OTHER##,оПХЛЕПМЮЪ БШЯНРЮ##LENGTH##MILLIMETERS,оПХЛЕПМЮЪ ЬХПХМЮ##LENGTH##MILLIMETERS,яРБНПЙЮ 01_ьХПХМЮ##LENGTH##MILLIMETERS,яРБНПЙЮ 02_ьХПХМЮ##LENGTH##MILLIMETERS
1320(375-570)У580h,но няо 6-13 о,580,1320,375,570
1470(450-570)У580h,но няо 6-15 о,580,1470,450,570
1320(375-570)У860h,но няо 9-13 о,860,1320,375,570
1470(450-570)У860h,но няо 9-15 о,860,1470,450,570
1320(375-570)У1160h,но няо 12-13 о,1160,1320,375,570
1470(450-570)У1160h,но няо 12-15 о,1160,1470,450,570
1770(450-870)У1160h,но няо 12-18 о,1160,1770,450,870
2070(600-870)У1160h,но няо 12-21 о,1160,2070,600,870
2370(750-870)У1160h,но няо 12-24 о,1160,2370,750,870
2670(900-870)У1160h,но няо 12-27 о,1160,2670,900,870
1320(375-570)У1320h,но няо 13-13 о,1320,1320,375,570
1470(450-570)У1320h,но няо 13-15 о,1320,1470,450,570
1770(450-870)У1320h,но няо 13-18 о,1320,1770,450,870
2070(600-870)У1320h,но няо 13-21 о,1320,2070,600,870
2370(750-870)У1320h,но няо 13-24 о,1320,2370,750,870
2670(900-870)У1320h,но няо 13-27 о,1320,2670,900,870
1320(375-570)У1460h,но няо 15-13 о,1460,1320,375,570
1470(450-570)У1460h,но няо 15-15 о,1460,1470,450,570
1770(450-870)У1460h,но няо 15-18 о,1460,1770,450,870
2070(600-870)У1460h,но няо 15-21 о,1460,2070,600,870
2370(750-870)У1460h,но няо 15-24 о,1460,2370,750,870
2670(900-870)У1460h,но няо 15-27 о,1460,2670,900,870
1320(375-570)У1760h,но няо 18-13 о,1760,1320,375,570
1470(450-570)У1760h,но няо 18-15 о,1760,1470,450,570
1770(450-870)У1760h,но няо 18-18 о,1760,1770,450,870
2070(600-870)У1760h,но няо 18-21 о,1760,2070,600,870
2370(750-870)У1760h,но няо 18-24 о,1760,2370,750,870
2670(900-870)У1760h,но няо 18-27 о,1760,2670,900,870
1320(375-570)У2060h,но няо 21-13 о,2060,1320,375,570
1470(450-570)У2060h,но няо 21-15 о,2060,1470,450,570
1770(450-870)У2060h,но няо 21-18 о,2060,1770,450,870
2070(600-870)У2060h,но няо 21-21 о,2060,2070,600,870
2370(750-870)У2060h,но няо 21-24 о,2060,2370,750,870
2670(900-870)У2060h,но няо 21-27 о,2060,2670,900,870
1320(375-570)У2175h,но няо 22-13 о,2175,1320,375,570
1470(450-570)У2175h,но няо 22-15 о,2175,1470,450,570
1770(450-870)У2175h,но няо 22-18 о,2175,1770,450,870
2070(600-870)У2175h,но няо 22-21 о,2175,2070,600,870
2370(750-870)У2175h,но няо 22-24 о,2175,2370,750,870
2670(900-870)У2175h,но няо 22-27 о,2175,2670,900,870
1470(450-570)У2375h,но няо 24-15 о,2375,1470,450,570
1770(450-870)У2375h,но няо 24-18 о,2375,1770,450,870
2070(600-870)У2375h,но няо 24-21 о,2375,2070,600,870
2370(750-870)У2375h,но няо 24-24 о,2375,2370,750,870
1470(450-570)У2755h,но няо 28-15 о,2755,1470,450,570
1770(450-870)У2755h,но няо 28-18 о,2755,1770,450,870
2070(600-870)У2755h,но няо 28-21 о,2755,2070,600,870
