,ADSK_Наименование##OTHER##,Примерная высота##LENGTH##MILLIMETERS,Примерная ширина##LENGTH##MILLIMETERS,Створка 01_Ширина##LENGTH##MILLIMETERS,Створка 02_Ширина##LENGTH##MILLIMETERS,Створка 02_Высота##LENGTH##MILLIMETERS
1320(375-570)х1160(580)h,ОП ОСП 12-13 Ф,1160,1320,375,570,580
1470(450-570)х1160(580)h,ОП ОСП 12-15 Ф,1160,1470,450,570,580
1770(450-870)х1160(580)h,ОП ОСП 12-18 Ф,1160,1770,450,870,580
2070(600-870)х1160(580)h,ОП ОСП 12-21 Ф,1160,2070,600,870,580
2370(750-870)х1160(580)h,ОП ОСП 12-24 Ф,1160,2370,750,870,580
2670(900-870)х1160(580)h,ОП ОСП 12-27 Ф,1160,2670,900,870,580
1320(375-570)х1320(860)h,ОП ОСП 13-13 Ф,1320,1320,375,570,860
1470(450-570)х1320(860)h,ОП ОСП 13-15 Ф,1320,1470,450,570,860
1770(450-870)х1320(860)h,ОП ОСП 13-18 Ф,1320,1770,450,870,860
2070(600-870)х1320(860)h,ОП ОСП 13-21 Ф,1320,2070,600,870,860
2370(750-870)х1320(860)h,ОП ОСП 13-24 Ф,1320,2370,750,870,860
2670(900-870)х1320(860)h,ОП ОСП 13-27 Ф,1320,2670,900,870,860
1320(375-570)x1460(860)h,ОП ОСП 15-13 Ф,1460,1320,375,570,860
1470(450-570)x1460(860)h,ОП ОСП 15-15 Ф,1460,1470,450,570,860
1770(450-870)x1460(860)h,ОП ОСП 15-18 Ф,1460,1770,450,870,860
2070(600-870)x1460(860)h,ОП ОСП 15-21 Ф,1460,2070,600,870,860
2370(750-870)x1460(860)h,ОП ОСП 15-24 Ф,1460,2370,750,870,860
2670(900-870)x1460(860)h,ОП ОСП 15-27 Ф,1460,2670,900,870,860
1320(375-570)х1760(1160)h,ОП ОСП 18-13 Ф,1760,1320,375,570,1160
1470(450-570)х1760(1160)h,ОП ОСП 18-15 Ф,1760,1470,450,570,1160
1770(450-870)х1760(1160)h,ОП ОСП 18-18 Ф,1760,1770,450,870,1160
2070(600-870)х1760(1160)h,ОП ОСП 18-21 Ф,1760,2070,600,870,1160
2370(750-870)х1760(1160)h,ОП ОСП 18-24 Ф,1760,2370,750,870,1160
2670(900-870)х1760(1160)h,ОП ОСП 18-27 Ф,1760,2670,900,870,1160
1320(375-570)х2060(1460)h,ОП ОСП 21-13 Ф,2060,1320,375,570,1460
1470(450-570)х2060(1460)h,ОП ОСП 21-15 Ф,2060,1470,450,570,1460
1770(450-870)х2060(1460)h,ОП ОСП 21-18 Ф,2060,1770,450,870,1460
2070(600-870)х2060(1460)h,ОП ОСП 21-21 Ф,2060,2070,600,870,1460
2370(750-870)х2060(1460)h,ОП ОСП 21-24 Ф,2060,2370,750,870,1460
2670(900-870)х2060(1460)h,ОП ОСП 21-27 Ф,2060,2670,900,870,1460
1320(375-570)х2175(1760)h,ОП ОСП 22-13 Ф,2175,1320,375,570,1760
1470(450-570)х2175(1760)h,ОП ОСП 22-15 Ф,2175,1470,450,570,1760
1770(450-870)х2175(1760)h,ОП ОСП 22-18 Ф,2175,1770,450,870,1760
2070(600-870)х2175(1760)h,ОП ОСП 22-21 Ф,2175,2070,600,870,1760
2370(750-870)х2175(1760)h,ОП ОСП 22-24 Ф,2175,2370,750,870,1760
2670(900-870)х2175(1760)h,ОП ОСП 22-27 Ф,2175,2670,900,870,1760
1470(450-570)х2375(1760)h,ОП ОСП 24-15 Ф,2375,1470,450,570,1760
1770(450-870)х2375(1760)h,ОП ОСП 24-18 Ф,2375,1770,450,870,1760
2070(600-870)х2375(1760)h,ОП ОСП 24-21 Ф,2375,2070,600,870,1760
2370(750-870)х2375(1760)h,ОП ОСП 24-24 Ф,2375,2370,750,870,1760
1470(450-570)х2755(2175)h,ОП ОСП 28-15 Ф,2755,1470,450,570,2175
1770(450-870)х2755(2175)h,ОП ОСП 28-18 Ф,2755,1770,450,870,2175
2070(600-870)х2755(2175)h,ОП ОСП 28-21 Ф,2755,2070,600,870,2175
